current.temp_c,current.wind_kph,current.wind_dir,Temperature,forecast.forecastday.hour.wind_kph,forecast.forecastday.hour.wind_dir,Date,Time
20.0,9.0,E,15.3,5.8,SE,2021-08-04,00:00:00
20.0,9.0,E,15.1,5.4,SE,2021-08-04,01:00:00
20.0,9.0,E,14.9,5.0,ESE,2021-08-04,02:00:00
20.0,9.0,E,14.7,4.7,ESE,2021-08-04,03:00:00
20.0,9.0,E,14.8,4.3,ESE,2021-08-04,04:00:00
20.0,9.0,E,14.8,4.0,ESE,2021-08-04,05:00:00
20.0,9.0,E,14.9,3.6,ESE,2021-08-04,06:00:00
20.0,9.0,E,16.1,4.3,ESE,2021-08-04,07:00:00
20.0,9.0,E,17.2,4.7,ESE,2021-08-04,08:00:00
20.0,9.0,E,18.4,5.4,ESE,2021-08-04,09:00:00
20.0,9.0,E,19.6,4.3,ESE,2021-08-04,10:00:00
20.0,9.0,E,20.8,3.6,SE,2021-08-04,11:00:00
20.0,9.0,E,22.0,2.5,SSE,2021-08-04,12:00:00
20.0,9.0,E,22.1,3.2,SSE,2021-08-04,13:00:00
20.0,9.0,E,22.2,3.6,SSE,2021-08-04,14:00:00
20.0,9.0,E,22.3,4.3,SSE,2021-08-04,15:00:00
20.0,9.0,E,21.6,5.4,SSE,2021-08-04,16:00:00
20.0,9.0,E,21.0,6.5,S,2021-08-04,17:00:00
20.0,9.0,E,20.3,7.6,SSW,2021-08-04,18:00:00
20.0,9.0,E,19.7,8.3,SSW,2021-08-04,19:00:00
20.0,9.0,E,19.0,8.6,SSW,2021-08-04,20:00:00
20.0,9.0,E,18.4,9.4,SW,2021-08-04,21:00:00
20.0,9.0,E,17.8,8.6,SW,2021-08-04,22:00:00
20.0,9.0,E,17.3,7.9,SW,2021-08-04,23:00:00
