type,wind_type,date,period,quantitysettlementDate
Wind generation,Wind Offshore,2021-08-03,48.0,744.577
Wind generation,Wind Offshore,2021-08-03,47.0,744.577
Wind generation,Wind Offshore,2021-08-03,46.0,880.5189999999999
Wind generation,Wind Offshore,2021-08-03,45.0,880.5189999999999
Wind generation,Wind Offshore,2021-08-03,44.0,889.645
Wind generation,Wind Offshore,2021-08-03,43.0,889.645
Wind generation,Wind Offshore,2021-08-03,42.0,867.9989999999997
Wind generation,Wind Offshore,2021-08-03,41.0,867.9989999999997
Wind generation,Wind Offshore,2021-08-03,40.0,843.6389999999999
Wind generation,Wind Offshore,2021-08-03,39.0,843.6389999999999
Wind generation,Wind Offshore,2021-08-03,38.0,814.0980000000003
Wind generation,Wind Offshore,2021-08-03,37.0,814.0980000000003
Wind generation,Wind Offshore,2021-08-03,36.0,763.0219999999997
Wind generation,Wind Offshore,2021-08-03,35.0,763.0219999999997
Wind generation,Wind Offshore,2021-08-03,34.0,706.188
Wind generation,Wind Offshore,2021-08-03,33.0,706.188
Wind generation,Wind Offshore,2021-08-03,32.0,638.544
Wind generation,Wind Offshore,2021-08-03,31.0,638.544
Wind generation,Wind Offshore,2021-08-03,30.0,590.274
Wind generation,Wind Offshore,2021-08-03,29.0,590.274
Wind generation,Wind Offshore,2021-08-03,28.0,529.688
Wind generation,Wind Offshore,2021-08-03,27.0,529.688
Wind generation,Wind Offshore,2021-08-03,26.0,456.546
Wind generation,Wind Offshore,2021-08-03,25.0,456.546
Wind generation,Wind Offshore,2021-08-03,24.0,421.21
Wind generation,Wind Offshore,2021-08-03,23.0,421.21
Wind generation,Wind Offshore,2021-08-03,22.0,398.685
Wind generation,Wind Offshore,2021-08-03,21.0,398.685
Wind generation,Wind Offshore,2021-08-03,20.0,402.478
Wind generation,Wind Offshore,2021-08-03,19.0,402.478
Wind generation,Wind Offshore,2021-08-03,18.0,382.458
Wind generation,Wind Offshore,2021-08-03,17.0,382.458
Wind generation,Wind Offshore,2021-08-03,16.0,370.042
Wind generation,Wind Offshore,2021-08-03,15.0,370.042
Wind generation,Wind Offshore,2021-08-03,14.0,359.93699999999984
Wind generation,Wind Offshore,2021-08-03,13.0,359.93699999999984
Wind generation,Wind Offshore,2021-08-03,12.0,368.55699999999996
Wind generation,Wind Offshore,2021-08-03,11.0,368.55699999999996
Wind generation,Wind Offshore,2021-08-03,10.0,397.416
Wind generation,Wind Offshore,2021-08-03,9.0,397.416
Wind generation,Wind Offshore,2021-08-03,8.0,439.319
Wind generation,Wind Offshore,2021-08-03,7.0,439.319
Wind generation,Wind Offshore,2021-08-03,6.0,508.765
Wind generation,Wind Offshore,2021-08-03,5.0,508.765
Wind generation,Wind Offshore,2021-08-03,4.0,569.061
Wind generation,Wind Offshore,2021-08-03,3.0,569.061
Wind generation,Wind Offshore,2021-08-03,2.0,403.522
Wind generation,Wind Offshore,2021-08-03,1.0,403.522
Wind generation,Wind Offshore,2021-08-03,48.0,684.8839999999999
Wind generation,Wind Offshore,2021-08-03,47.0,684.8839999999999
Wind generation,Wind Offshore,2021-08-03,46.0,746.6110000000001
Wind generation,Wind Offshore,2021-08-03,45.0,746.6110000000001
Wind generation,Wind Offshore,2021-08-03,44.0,742.095
