type,wind_type,date,period,quantitysettlementDate
Wind generation,Wind Onshore,2021-08-03,48.0,552.321
Wind generation,Wind Onshore,2021-08-03,47.0,552.321
Wind generation,Wind Onshore,2021-08-03,46.0,591.214
Wind generation,Wind Onshore,2021-08-03,45.0,591.214
Wind generation,Wind Onshore,2021-08-03,44.0,618.269
Wind generation,Wind Onshore,2021-08-03,43.0,618.269
Wind generation,Wind Onshore,2021-08-03,42.0,661.475
Wind generation,Wind Onshore,2021-08-03,41.0,661.475
Wind generation,Wind Onshore,2021-08-03,40.0,730.7389999999997
Wind generation,Wind Onshore,2021-08-03,39.0,730.7389999999997
Wind generation,Wind Onshore,2021-08-03,38.0,795.805
Wind generation,Wind Onshore,2021-08-03,37.0,795.805
Wind generation,Wind Onshore,2021-08-03,36.0,826.3
Wind generation,Wind Onshore,2021-08-03,35.0,826.3
Wind generation,Wind Onshore,2021-08-03,34.0,809.51
Wind generation,Wind Onshore,2021-08-03,33.0,809.51
Wind generation,Wind Onshore,2021-08-03,32.0,768.4069999999997
Wind generation,Wind Onshore,2021-08-03,31.0,768.4069999999997
Wind generation,Wind Onshore,2021-08-03,30.0,711.549
Wind generation,Wind Onshore,2021-08-03,29.0,711.549
Wind generation,Wind Onshore,2021-08-03,28.0,644.007
Wind generation,Wind Onshore,2021-08-03,27.0,644.007
Wind generation,Wind Onshore,2021-08-03,26.0,554.56
Wind generation,Wind Onshore,2021-08-03,25.0,554.56
Wind generation,Wind Onshore,2021-08-03,24.0,489.75699999999995
Wind generation,Wind Onshore,2021-08-03,23.0,489.75699999999995
Wind generation,Wind Onshore,2021-08-03,22.0,417.285
Wind generation,Wind Onshore,2021-08-03,21.0,417.285
Wind generation,Wind Onshore,2021-08-03,20.0,381.00300000000004
Wind generation,Wind Onshore,2021-08-03,19.0,381.00300000000004
Wind generation,Wind Onshore,2021-08-03,18.0,359.306
Wind generation,Wind Onshore,2021-08-03,17.0,359.306
Wind generation,Wind Onshore,2021-08-03,16.0,367.936
Wind generation,Wind Onshore,2021-08-03,15.0,367.936
Wind generation,Wind Onshore,2021-08-03,14.0,366.05
Wind generation,Wind Onshore,2021-08-03,13.0,366.05
Wind generation,Wind Onshore,2021-08-03,12.0,365.31800000000004
Wind generation,Wind Onshore,2021-08-03,11.0,365.31800000000004
Wind generation,Wind Onshore,2021-08-03,10.0,374.462
Wind generation,Wind Onshore,2021-08-03,9.0,374.462
Wind generation,Wind Onshore,2021-08-03,8.0,391.289
Wind generation,Wind Onshore,2021-08-03,7.0,391.289
Wind generation,Wind Onshore,2021-08-03,6.0,413.733
Wind generation,Wind Onshore,2021-08-03,5.0,413.733
Wind generation,Wind Onshore,2021-08-03,4.0,442.061
Wind generation,Wind Onshore,2021-08-03,3.0,442.061
Wind generation,Wind Onshore,2021-08-03,2.0,484.164
Wind generation,Wind Onshore,2021-08-03,1.0,484.164
Wind generation,Wind Onshore,2021-08-03,48.0,532.879
Wind generation,Wind Onshore,2021-08-03,47.0,532.879
Wind generation,Wind Onshore,2021-08-03,46.0,551.609
Wind generation,Wind Onshore,2021-08-03,45.0,551.609
Wind generation,Wind Onshore,2021-08-03,44.0,573.933
Wind generation,Wind Onshore,2021-08-03,43.0,573.933
Wind generation,Wind Onshore,2021-08-03,42.0,616.4069999999998
Wind generation,Wind Onshore,2021-08-03,41.0,616.4069999999998
Wind generation,Wind Onshore,2021-08-03,40.0,715.5369999999997
Wind generation,Wind Onshore,2021-08-03,39.0,715.5369999999997
Wind generation,Wind Onshore,2021-08-03,38.0,774.658
Wind generation,Wind Onshore,2021-08-03,37.0,774.658
Wind generation,Wind Onshore,2021-08-03,36.0,796.8939999999999
Wind generation,Wind Onshore,2021-08-03,35.0,796.8939999999999
Wind generation,Wind Onshore,2021-08-03,34.0,787.2280000000003
Wind generation,Wind Onshore,2021-08-03,33.0,787.2280000000003
Wind generation,Wind Onshore,2021-08-03,32.0,728.915
Wind generation,Wind Onshore,2021-08-03,31.0,728.915
Wind generation,Wind Onshore,2021-08-03,30.0,666.63
Wind generation,Wind Onshore,2021-08-03,29.0,666.63
Wind generation,Wind Onshore,2021-08-03,28.0,585.364
Wind generation,Wind Onshore,2021-08-03,27.0,585.364
Wind generation,Wind Onshore,2021-08-03,26.0,503.789
Wind generation,Wind Onshore,2021-08-03,25.0,503.789
Wind generation,Wind Onshore,2021-08-03,24.0,436.526
Wind generation,Wind Onshore,2021-08-03,23.0,436.526
Wind generation,Wind Onshore,2021-08-03,22.0,369.79900000000004
Wind generation,Wind Onshore,2021-08-03,21.0,369.79900000000004
Wind generation,Wind Onshore,2021-08-03,20.0,346.98
Wind generation,Wind Onshore,2021-08-03,19.0,346.98
Wind generation,Wind Onshore,2021-08-03,18.0,334.4240000000001
Wind generation,Wind Onshore,2021-08-03,17.0,334.4240000000001
Wind generation,Wind Onshore,2021-08-03,2.0,499.75
Wind generation,Wind Onshore,2021-08-03,1.0,499.75
Wind generation,Wind Onshore,2021-08-03,48.0,560.185
Wind generation,Wind Onshore,2021-08-03,47.0,560.185
Wind generation,Wind Onshore,2021-08-03,46.0,575.345
Wind generation,Wind Onshore,2021-08-03,45.0,575.345
Wind generation,Wind Onshore,2021-08-03,44.0,583.521
Wind generation,Wind Onshore,2021-08-03,43.0,583.521
Wind generation,Wind Onshore,2021-08-03,42.0,621.944
Wind generation,Wind Onshore,2021-08-03,41.0,621.944
Wind generation,Wind Onshore,2021-08-03,40.0,734.013
Wind generation,Wind Onshore,2021-08-03,39.0,734.013
Wind generation,Wind Onshore,2021-08-03,38.0,816.3439999999997
Wind generation,Wind Onshore,2021-08-03,37.0,816.3439999999997
Wind generation,Wind Onshore,2021-08-03,36.0,826.529
Wind generation,Wind Onshore,2021-08-03,35.0,826.529
Wind generation,Wind Onshore,2021-08-03,34.0,818.398
Wind generation,Wind Onshore,2021-08-03,33.0,818.398
Wind generation,Wind Onshore,2021-08-03,32.0,770.539
Wind generation,Wind Onshore,2021-08-03,31.0,770.539
Wind generation,Wind Onshore,2021-08-03,30.0,702.194
Wind generation,Wind Onshore,2021-08-03,29.0,702.194
Wind generation,Wind Onshore,2021-08-03,28.0,608.752
Wind generation,Wind Onshore,2021-08-03,27.0,608.752
Wind generation,Wind Onshore,2021-08-03,26.0,519.764
Wind generation,Wind Onshore,2021-08-03,25.0,519.764
Wind generation,Wind Onshore,2021-08-03,2.0,518.444
Wind generation,Wind Onshore,2021-08-03,1.0,518.444
